filename    filesize    num_reads   time
TV_V1L_Plate1_G3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  106K    2304
PC_V4L_Plate1_G11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 196K    4178
KE_V3L_Plate1_G7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  241K    4962
BK_V4L_Plate1_G4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  249K    5409
WH_V5L_Plate1_F4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  258K    7244
BH_V2L_Plate1_G9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  259K    5675
CH_V2L_Plate1_G5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  279K    6624
WH_V4L_Plate1_F12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 351K    8234
DS_V4B_Plate3_C12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 355K    7229
CB_V2G_Plate4_E10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 372K    8143
BK_V1L_Plate1_G2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  437K    10319
EY_V1L_Plate4_F10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 443K    9909
SC_V4B_Plate4_C10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 529K    11069
WH_V1L_Plate1_G6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  533K    13170
DS_V1L_Plate4_G12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 553K    12364
RE_V4B_Plate1_D4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  590K    13357
DN_V1G_Plate4_F2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  601K    13836
PC_V1S_Plate3_A12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 621K    12501
CH_V2G_Plate4_H11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 623K    14292
SC_V7G_Plate1_H12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 653K    14373
RE_V1S_Plate1_B12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 668K    13575
TH_V3B_Plate3_D9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  692K    14445
DS_V3L_Plate3_E9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  704K    16992
BH_V3L_Plate4_E2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  706K    16020
CB_V1G_Plate1_G1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  726K    16646
DN_V3L_Plate3_C7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  726K    16094
RE_V1L_Plate1_F11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 735K    17781
PC_V2L_Plate4_D2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  751K    16191
CH_V5L_Plate4_H5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  794K    17761
BK_V3G_Plate4_F1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  799K    18527
KE_T3_Plate4_A12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  804K    16417
PC_T3_Plate4_B2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   866K    18874
CB_V2L_Plate1_G12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 876K    21988
DN_V2B_Plate4_G2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  885K    22007
CH_V4G_Plate1_F7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  901K    20164
WH_V2L_Plate4_B11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 905K    19581
TH_V3S_Plate1_B11_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 916K    21210
BK_V5G_Plate2_F9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  938K    21788
RE_V2G_Plate4_E5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  984K    21509
AB_V4G_Plate4_E1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  986K    22463
RE_V2L_Plate4_H8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  999K    23422
TH_V1G_Plate4_E12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 1004K   22472
SC_V6G_Plate1_F10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 1.1M    24771
KE_V1S_Plate1_B3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.1M    25713
TH_V2G_Plate4_E6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.1M    23785
TV_V3B_Plate3_C8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.2M    27394
TV_V5L_Plate3_F12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 1.3M    25703
CB_V4B_Plate3_A7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.3M    29521
BK_V5S_Plate3_H12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 1.3M    26760
BK_V5S_Plate2_H12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 1.3M    30047
TH_V3G_Plate3_H3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.3M    30038
DS_V4G_Plate1_E12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 1.4M    28849
SC_T1_Plate4_B5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   1.4M    28550
PC_V3G_Plate1_F3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.4M    29314
DN_T3_Plate4_A6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   1.4M    29035
SC_V8G_Plate4_G1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.4M    35058
KE_V2L_Plate4_G5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.5M    34208
CH_V4S_Plate2_H9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.5M    34310
TV_V5S_Plate3_F1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.5M    32973
AB_V3G_Plate4_E7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.6M    32862
SC_V10L_Plate2_E7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 1.6M    37538
RE_T3_Plate1_C4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   1.6M    36995
BH_V1B_Plate4_C1_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.6M    33854
DS_V4S_Plate2_H8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.6M    33659
KE_V6S_Plate3_G2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.8M    40694
TV_V3L_Plate4_H4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.9M    44730
AB_V3B_Plate1_F6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  1.9M    44222
TV_V1G_Plate1_H10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 2.0M    45631
